"concept_id","chapter_type","chapter_id","chapter_name","chapter_level","parent_chapter_id"
1352213,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
1360067,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
1395573,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
1707687,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
1757803,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
19054702,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
19062817,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
19136187,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
42898933,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
43009086,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
44785885,"atc_1st",21600959,"B. BLOOD AND BLOOD FORMING ORGANS",1,NA
902427,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
920458,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
942350,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
956874,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
970250,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
974166,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
978555,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1112921,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1307046,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1307863,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1308842,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1309204,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1309944,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1314577,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1317640,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1326303,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1331247,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1332418,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1334456,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1341927,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1351557,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1353256,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1353776,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1363053,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1363749,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1367500,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1370109,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1373225,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1383815,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1383925,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1510813,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1539403,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
1545958,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
19004539,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
19011021,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
19015802,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
19020061,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
40173184,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
40226742,"atc_1st",21601237,"C. CARDIOVASCULAR SYSTEM",1,NA
920458,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
939259,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1124300,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1134439,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1149380,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1506270,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1593467,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
1780601,"atc_1st",21601907,"D. DERMATOLOGICALS",1,NA
924566,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
989482,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1363053,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1512674,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1519936,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1548195,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1549786,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
1588000,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
19054876,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
19097684,"atc_1st",21602359,"G. GENITO URINARY SYSTEM AND SEX HORMONES",1,NA
920458,"atc_1st",21602681,"H. SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",1,NA
1501700,"atc_1st",21602681,"H. SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",1,NA
1506270,"atc_1st",21602681,"H. SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",1,NA
535714,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
537647,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
1703063,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
1707687,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
1724700,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
1757803,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
37499271,"atc_1st",21602795,"J. ANTIINFECTIVES FOR SYSTEMIC USE",1,NA
904351,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
937368,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1304850,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1304919,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1310317,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1314273,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1315942,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1344354,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1350504,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1395557,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1397141,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
1549786,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
19038440,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
19042545,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
19078187,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
19092845,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
19136207,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
40171288,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
40241969,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
42801287,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
42873638,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
45775965,"atc_1st",21601386,"L. ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",1,NA
729855,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1124300,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1167322,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1304565,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1360332,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1395573,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
1557272,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
19011355,"atc_1st",21603931,"M. MUSCULO-SKELETAL SYSTEM",1,NA
715939,"atc_1st",21604180,"N. NERVOUS SYSTEM",1,NA
789578,"atc_1st",21604180,"N. NERVOUS SYSTEM",1,NA
1134439,"atc_1st",21604180,"N. NERVOUS SYSTEM",1,NA
1366610,"atc_1st",21604180,"N. NERVOUS SYSTEM",1,NA
37499031,"atc_1st",21604180,"N. NERVOUS SYSTEM",1,NA
920458,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
939259,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1110942,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1112921,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1137529,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1149380,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1154161,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1154343,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1196677,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
1354698,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
19020068,"atc_1st",21605007,"R. RESPIRATORY SYSTEM",1,NA
902427,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
904501,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
920458,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
954688,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
981709,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1124300,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1397141,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1506270,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1707687,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1757803,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
19062817,"atc_1st",21603550,"S. SENSORY ORGANS",1,NA
1134439,"atc_1st",21605212,"V. VARIOUS",1,NA
1304565,"atc_1st",21605212,"V. VARIOUS",1,NA
1354698,"atc_1st",21605212,"V. VARIOUS",1,NA
1360067,"atc_1st",21605212,"V. VARIOUS",1,NA
19007721,"atc_1st",21605212,"V. VARIOUS",1,NA
19020477,"atc_1st",21605212,"V. VARIOUS",1,NA
19054702,"atc_1st",21605212,"V. VARIOUS",1,NA
